"HolderAddress","Quantity","PendingBalanceUpdate"
"0x50143ac8f5e5c1e7611f898c5533a3397011b0fb","1","No"
"0x54691741f6451f4eae797bd365a17b45ece418f3","1","No"
"0x56485da819b2c7366c0fc44b69e42c3173b9bc75","1","No"
"0x5aaf40398fc3753c5c423394534bdfc6a9b2c33c","1","No"
"0x66e1823ffab48c147b019ea9a5a0b3a1df680eca","1","No"
"0x679b2f2953defebbb79e27f4eb282a4c0cbc38f0","1","No"
"0x6c19d6c5c07c16e80b1475f13485788cf3022763","1","No"
"0x6ea4c8f01d90759753742419fb61f8010f247a74","1","No"
"0x77ffeeb8b3bfa91c53075998f8f50dfcdc266be5","1","No"
"0x7c7a1c32d1cf038d8ecf4d72b0ec9a3a920978d5","1","No"
"0x808b7cef906d208651ac29514890050537bc675b","1","No"
"0x827121f4f23795f17056b7ded2c9e74c08e1f8f0","1","No"
"0x866d9431033507d8e546c8cf38ac8028bf278522","1","No"
"0x89616ea430a504b74dc34a63257c2e4d3612351d","1","No"
"0x8a4bc1e4ef8fed6b779fdf4b8cb112427200e51b","1","No"
"0x8c1ddca6916451658c667a2cc8e8dd99db53c063","1","No"
"0x8d51d9661c6792c1d5189d257a7e63a9a2e30a74","1","No"
"0x8fd8ae51f56c9251d6f4d9a437672df7ee073962","1","No"
"0x9483ec43d7867c8efc0cd5a49605bfe0a2ec0d42","1","No"
"0x97d7846316efe4581a5a1ef3de3e88814ba75e25","1","No"
"0x9b85331876750b5f8c3cdf2a67aca817f7657732","1","No"
"0xa1a5066c9ddb7dfd19e1f319ad364cb21131aaaf","1","No"
"0xa308d165e8511e458b95dfe3135e3f790a8a26e0","1","No"
"0xa4d065b46d29922fcccb1bfcbab6a4271fe633ff","1","No"
"0xa5832f0b07db52961974059ebfbd8afc1dadb3a8","1","No"
"0xa5a3ee1f3e04bf47d246bd778127a557ed13d87d","1","No"
"0xa61d477939010a6b771abf1804586af7ba53710c","1","No"
"0xabd7d62d1e66a55b5d42fd9c6fe9d8fefea1e5d7","1","No"
"0xad08506e384bd79e2a0f647c49d436f921483460","1","No"
"0xae451769f0fa80c43f19cd6a6b6f53991dd73191","1","No"
"0xafb011715e6e22dcad48e7ae78f52dbbc34233c5","1","No"
"0xb0faa5f81ae23f76356d7ae86b5078df4ca7c350","1","No"
"0xb2ffc2125b90ab2d20c0c16c55cd7312d7012851","1","No"
"0xb5011b2fd7bb19e205dc09c39e617dfa9ecd6d12","1","No"
"0xb546fb9f4db1cfff7cde73bc97ad426a4ff94fd4","1","No"
"0xb5ca71e2f969f39b442c927f2d0c43a7d77fe6ab","1","No"
"0xb8d074d98168831d0a883c3530b35b83cc345f5b","1","No"
"0xbc271d59cc19b4a57e98e02664c6ee962f89ffc1","1","No"
"0xbfddcd8aa202c4eda7ca3c53f57185c12b7e5cc4","1","No"
"0xc2599f1009669f4cda7ac2493de06d450fc79ef9","1","No"
"0xc40c5d45f3196840c7fc4858b03ca1ac1a697489","1","No"
"0xc5545faf576be5a6cecb869c843d3e8ad184bf08","1","No"
"0xc6a601b7326511aa571337e38cd698ee60c0eab4","1","No"
"0xc8513819e4bd5b22789d10cdf9c8bcd9817e3fdb","1","No"
"0xc9e848babda9e833830fd6bf1ddc55ba813ae08d","1","No"
"0xcabba4560c96fade3dd6c29cf24cfb16a228bc1c","1","No"
"0xccf69ad860507f0e3c67c3adc3a7d5238aa657ea","1","No"
"0xcd009f2791814eb191edea90271985f98656e911","1","No"
"0xce6f977844000e091d6428d86cbafa24d45045c5","1","No"
"0xcfb54f1849834db91c2774768995172aae08edae","1","No"
"0xd4aa0d98fe517f98527803f30f24d06ee6653c37","1","No"
"0xd5bef572f33019f18da8f8331a7cf861c35b8cbe","1","No"
"0xd78e552fb6bc1638b3d157423975b5530d67d656","1","No"
"0xd8e9c4397757938f705fd5c36ba171a879905798","1","No"
"0xda9592eacda11463091daa8c65c48d722a3ac855","1","No"
"0xdb45568bd1db6642bba402f27e43a4066634ee42","1","No"
"0xdc57727fcd3a512fac2024cd45aa1468f1efe207","1","No"
"0xdc5c1bba81dd16aebf2c9601e891905cb0bb946e","1","No"
"0xdd02574a2cea6b55ab463a1ad7dee74e52cd8c56","1","No"
"0xde2626860df495343a9e17dd47139a7f92207c0e","1","No"
"0xe048a3d6821a4156a1544a0d96b6121d63fa06c2","1","No"
"0xe04eb51431703f0b117c0417d4cd558ae0925c94","1","No"
"0xe0f61822b45bb03cdc581283287941517810d7ba","1","No"
"0xe6689cebdae2c21dd3c75ccd7ac5643753985a1d","1","No"
"0xe982150121e8385a68a08b7498775444bc257ac9","1","No"
"0xedf3541e62cd109dbb6089a32f10cf5f64d358c5","1","No"
"0xf28dcea9483e127cd1fe3b10d0a3f521c7ebceff","1","No"
"0xf491ff8b6ca44af3978ec80e14e352c35d03d5c9","1","No"
"0xf52cf90b07d2721680e62418a36bafc66ea72fbe","1","No"
"0xf8cd5373187ede96b1c81ba6c07a77907fa4e2d2","1","No"
"0xf942abe035f605d5e97b9f4e3e8c521f93e92bd2","1","No"
"0xfa44249da56e46f9ebf4a1a81ec94663898788c7","1","No"
"0xfb3b5f75e236ebb6f932a108175117730e653787","1","No"
"0xfb44496ef7ce7dc94da1ec9f45115c80bba1778d","1","No"
"0xfef9bc6dde7a73a5913cfa3b916d0ad918b27e93","1","No"
"0xfff16a9055b0a02f918e80df611056286594363d","1","No"
