address,weight
0x000000000005DFe874F01071D0E05f99178a5Cfc,25.0
0x0000000000dFa724D4232675d9FA6c3f4945dCCC,50.0
0x00000000b9d747EF42D224e572a5B7e6488929c8,200.0
0x000000026D59EF7fE979E8E79bE12cC530f5b6e5,200.0
0x0000000484f2217f1A64Eb6d24b5CEe446FaEAe5,200.0
0x0000000c4B4965Eb002771358b64f1A01E851325,200.0
0x0000000cfe14De9716215fD7415b9903D4E162BD,200.0
0x000000400A4f186aEA6731B94a8Ecc46221b2637,200.0
0x00000073Cf3143F2B82D5BD2F69E8E287f57E352,200.0
0x000009C4e3c98E1D72BEc04CF8Cc9338FA590275,50.0
0x00005fF7b4E62B6b868D36809F8a30c85A6D0000,25.0
0x0000A41c8fb13AC331d04800d85135F081B19A44,25.0
0x000250150f8Fc5030700090ac5F9006Fa3a40134,25.0
0x000399f77708592Dd0D643c745ba37259a350355,25.0
0x00080000158A9930aeb508823103b0a977161c47,50.0
0x000B79f52356189C80a9d3AdA3911D4438218516,200.0
0x000ab07b26c48EF3Caf9ec23520D86794c9fd74a,200.0
0x000f4432a40560bBFf1b581a8b7AdEd8dab80026,200.0
0x001410235F1F3B2810D9a82b9064a09Ae7eDCd87,200.0
0x0018412692CC84F223196DfC756aB184B44758D9,200.0
0x001Df3Aa1901d418F8FD1592016fB0A4Fa276c05,25.0
0x0020952283aFADE116709bE9b08A9F0fe6225462,200.0
0x002525a77d262DD11ec63c9146a821b11564CE29,75.0
0x0025500c6A6bcAeBDe159DB6A307f4d38503A079,25.0
0x00290ffc9e9D19bdA7b25c6e44d8ADF55DFBf2dD,200.0
0x002eE33092457900515A4249e3eC1Cd2B2Dc8C32,250.0
0x002fEBA84e432b121511A45a62f682691Df9A467,50.0
0x00409fC839a2Ec2e6d12305423d37Cd011279C09,50.0
0x004537FCd9095489EbE38180a382341B962b501d,200.0
0x00493aA44BCfd6F0c2EcC7F8B154e4fB352d1c81,200.0
0x0050F3427E5388E9cc458e977bC3444faf015618,25.0
0x005249F22D6a8Bb23E600bF1A104063A363dC9b2,25.0
0x0056D1fd2ca3c0F3A7B6ed6CDd1F1F104B4BF9A9,75.0
0x005B169E443196CD4e91036CA76950E5FD6194f8,25.0
0x005c93D07F898ad7ed74ca753eb0b295f7a5Ef1c,25.0
0x00622116402F303f22D38F3ec202774F183f6468,25.0
0x0062Fb72D128699A70afDAD4b7bafb2Cde128913,200.0
0x00645Dd21310882cC32399abCb54e0a05b3b5D1d,200.0
0x00696051199242d2c138AA71c52A1503ef21A3c1,25.0
0x006C1C8f03F8C522Bc5F71a5dECab43a589a99C9,25.0
0x0071225043c5cEF7bDDEEC8609cEf932867d85bc,25.0
0x0079CE80043EDc3325598e4A3b6293ab779bf174,50.0
0x007Bc558d547ada9813bf148510988262f510C4E,25.0
0x007cA3a9974D3C0AC2b01bc45E1AeDEB7F9f0Bc1,50.0
0x0082dc9791f8b6e519bD728D8B7Fc90787093772,50.0
0x008a555153fAD6A62f0f3360F29740b3eCA6BaFF,200.0
0x00993585631d7A7B3501eE892f9B531908B9F8BA,25.0
0x009C69b6e6EFC580294339EAF4dB95D51ABB6CF1,25.0
0x00AD3c523b715cbd6cc1771f1A1743269b220fa4,50.0
0x00B113795f1aA12EE361adC6D281392802d0e025,200.0
0x00B65A14b535171a8d21cac60cC961D0672A3229,25.0
0x00D02836EdCD70f708754FA51C6276d857D9Ac08,25.0
0x00F00F762642A80AdAAD42CeA2e669F46F46659F,50.0
0x00F18CCb682d2B6B935A3BBd3F1d237D263E05c0,25.0
0x00b3753Ec162918d207Ba12C35011fceEf1E4cB6,200.0
0x00b5C12d160887A15679e44DB629225cBACF6e8C,25.0
0x00b5a0f715676F6ae020e743392655f189814F40,25.0
0x00ba280c55643f707e23376c948BE41b5468eF58,25.0
0x00c0798C0Df1e87069417E76b8Ca4fA089D051f1,200.0
0x00cF3adFAcAB2d9FE4b8780a373a6f3dF3Ef001a,25.0
0x00e6Ab08C6341Ff4eC08BEfC731Bf768ab03043d,50.0
0x00ea774D49E1728294cBcFF2268072D46959b941,25.0
0x00f282C40b92BEd05f1776caDF1C8b96b9fBaEE3,200.0
0x00f30ccc812F8bcFc30c3C7a927e41dFe0865a92,200.0
0x00f7C5c60102F2a431812E29447F623175A3Ef50,25.0
